"info.firstname","info.surname","info.managerid","info.gender","nationality","team_name","team_id","domestic_prestige","profitability","info.real_face","info.height","info.weight","info.contract.jointeamdate"
"Thomas","Silberberger",251657,"Male","Austria","Wolfsberger AC",111822,6,5,"No",182,75,"2026-04-07"
"Vitor Manuel","Lopes Pereira",250665,"Male","Portugal","Nottingham Forest",14,6,10,"No",175,75,"2026-02-15"
"Roberto","D'Aversa",164378,"Male","Italy","Torino",54,5,5,"No",184,75,"2026-02-23"
"Paulo Alexandre","Rodrigues Fonseca",250262,"Male","Portugal","Olympique Lyonnais",66,6,1,"No",188,75,"2025-01-31"
"Jens Berthel","Askou",249660,"Male","Denmark","Motherwell",83,5,4,"No",190,75,"2025-06-12"
"Marco Alexandre","Saraiva da Silva",178609,"Male","Portugal","Fulham",144,5,7,"Yes",180,75,"2021-07-01"
"Vincenzo","Italiano",251172,"Male","Italy","Bologna",189,6,6,"Yes",171,75,"2024-07-17"
"Dietmar","Kühbauer",50182,"Male","Austria","LASK",252,7,4,"No",173,73,"2025-10-10"
"Stephan","Helm",75597,"Male","Austria","Austria Wien",256,6,2,"No",182,75,"2024-07-01"
"Kent","Nielsen",249849,"Male","Denmark","Silkeborg IF",270,5,5,"No",192,75,"2019-07-01"
"Jakob","Poulsen",70773,"Male","Denmark","AGF",271,7,6,"No",181,75,"2025-06-20"
"Aleksandar","Vuković",105530,"Male","Serbia","Widzew Łódź",301,6,10,"No",186,82,"2026-03-05"
"Stefan","Billborn",250518,"Male","Sweden","IFK Göteborg",319,5,6,"No",177,75,"2024-06-25"
"Jocelyn","Gourvennec",30193,"Male","France","Servette FC",324,7,4,"No",183,77,"2023-11-29"
"Gerard","Nash",78885,"Male","Republic of Ireland","Cork City",422,5,5,"No",185,75,"2025-05-15"
"Manuel","Pellegrini",168384,"Male","Chile","Real Betis Balompié",449,6,5,"No",184,80,"2020-08-01"
"Claudio","Giráldez González",71542,"Male","Spain","RC Celta de Vigo",450,6,5,"Yes",185,75,"2024-03-12"
"José Alberto","López Menéndez",249745,"Male","Spain","Racing de Santander",456,5,6,"No",175,75,"2022-12-13"
"Alessio","Lisci",265765,"Male","Italy","CA Osasuna",479,5,7,"No",172,75,"2025-07-01"
"Christoph","Dabrowski",12070,"Male","Germany","Erzgebirge Aue",506,7,2,"No",195,82,"2026-02-03"
