"info.firstname","info.surname","info.managerid","info.gender","nationality","team_name","team_id","domestic_prestige","profitability","info.real_face","info.height","info.weight","info.contract.jointeamdate"
"Bo","Svensson",260230,"Male","Denmark","FC København",819,10,8,"No",190,75,"2026-03-30"
"Miroslav","Koubek",277803,"Male","Czech Republic","Czech Republic",1330,10,0,"No",180,75,"2025-12-19"
"Ionel","Gane",260229,"Male","Romania","Romania",1356,10,0,"No",182,75,"2026-03-27"
"Mikel","Arteta Amatriain",254782,"Male","Spain","Arsenal",1,10,9,"Yes",175,75,"2019-12-20"
"Danny","Röhl",278857,"Male","Germany","Rangers",86,10,9,"No",184,75,"2025-10-20"
"Francesco","Farioli",263710,"Male","Italy","FC Porto",236,10,6,"No",174,75,"2023-07-01"
"Rui Manuel","Gomes Borges",264687,"Male","Portugal","Sporting CP",237,10,9,"Yes",173,75,"2024-12-26"
"Hans-Dieter","Flick",254149,"Male","Germany","FC Barcelona",241,10,2,"Yes",177,75,"2024-07-01"
"Brian","Riemer",272666,"Male","Denmark","Denmark",1331,10,0,"No",174,75,"2024-10-24"
"Luis","de la Fuente",272689,"Male","Spain","Spain",1362,10,0,"Yes",173,75,"2022-12-08"
"Jung Yong","Chung",254575,"Male","Korea Republic","Jeonbuk Hyundai Motors",1477,10,10,"No",183,75,"2025-12-24"
"Claudio","Úbeda",264171,"Male","Argentina","Boca Juniors",1877,10,6,"No",181,75,"2025-10-10"
"Pablo","García",259479,"Male","Uruguay","APOEL Nicosia FC",100135,10,7,"No",186,75,"2025-06-01"
"Mirel","Rădoi",254538,"Male","Romania","FCSB",100761,10,9,"No",177,75,"2026-03-10"
"Patrick","Kisnorbo",258665,"Male","Australia","Sydney FC",111400,10,8,"No",188,75,"2026-03-24"
"Mark","Jackson",272778,"Male","England","Buriram United",112638,10,9,"No",182,75,"2025-10-15"
"Pedro","López Ramos",271814,"Male","Spain","Mexico Women",113010,10,0,"No",175,75,"2022-09-15"
"Germán","Portanova",272831,"Male","Argentina","Argentina Women",113996,10,0,"No",174,75,"2021-07-26"
"Daniel","Pancu",258096,"Male","Romania","CFR Cluj",114385,10,8,"No",185,75,"2025-10-30"
"Francisco","Conceição Neto",261966,"Male","Portugal","Portugal Women",115682,10,0,"No",180,75,"2014-02-25"
"Stephan","Lerch",274851,"Male","Germany","VfL Wolfsburg",115998,10,10,"No",183,75,"2025-07-01"
"Sonia","Bompastor",268315,"Female","France","Chelsea",116010,10,10,"Yes",162,75,"2024-07-01"
"Jonatan","Giráldez Costas",272398,"Male","Spain","OL Lyonnes",116033,10,10,"No",160,75,"2025-07-02"
"Þorsteinn","Halldorsson",270677,"Male","Iceland","Iceland Women",116428,10,0,"No",179,75,"2021-01-28"
"Leanne","Ross",276685,"Female","Scotland","Glasgow City",131363,10,6,"No",170,75,"2022-12-01"
